timestamp,total_amostras,erro_treinamento_final,erro_validacao_final
2025-09-09 21:49:37,10000,1.0877792192331981e-05,3.182622549502412e-06
2025-09-09 21:51:44,12000,3.605013489504927e-06,1.1659208212222438e-06
2025-09-09 21:52:10,14000,4.232140781823546e-06,2.467769945724285e-06
2025-09-09 21:52:47,16000,1.7736366544340854e-06,2.2483764041680843e-06
2025-09-09 21:53:10,18000,2.693991291380371e-06,2.4791943360469304e-06
2025-09-09 21:53:38,20000,2.3301502096728655e-06,3.9023001363602816e-07
2025-09-09 21:56:45,22000,3.2089844808069756e-06,4.4485670969152125e-07
2025-09-09 22:45:21,24000,1.8147053424399928e-06,1.5026615756141837e-06
2025-09-20 10:07:45,26000,1.5355986988652148e-06,2.201616382535576e-07
2025-09-20 10:12:17,28000,1.0038444315796369e-06,6.317375778053247e-07
